GCF_900176255.2	Mycobacterium ahvazicum
GCF_022374895.2	Mycobacterium lentiflavum
GCF_020181595.2	Mycobacterium vasticus
GCF_015710575.1	Mycobacterium mengxianglii
GCF_001673365.1	Mycobacterium asiaticum_A
GCF_010726245.1	Mycobacterium aichiense
GCF_002102355.1	Mycobacterium sherrisii
GCF_010727125.1	Mycobacterium terrae
GCF_041206865.1	Mycobacterium servetii
GCF_025822605.1	Mycobacterium komossense
GCF_002086115.1	Mycobacterium bacteremicum
GCF_025823255.1	Mycobacterium montefiorense
GCF_022374875.2	Mycobacterium rufum
GCF_003719305.1	Mycobacterium stellerae
GCF_010725885.1	Mycobacterium tokaiense
GCF_900157385.1	Mycobacterium terramassiliense
GCF_000230895.2	Mycobacterium rhodesiae_A
GCF_009741445.1	Mycobacterium avium
GCF_019050325.1	Mycobacterium fortunisiensis
GCF_002086485.1	Mycobacterium aquaticum
GCF_022430545.2	Mycobacterium paraterrae
GCF_029893345.1	Mycobacterium frederiksbergense_B
GCF_025215495.1	Mycobacterium brumae
GCF_050205485.1	Mycobacterium vaccae_A
GCF_006864685.1	Mycobacterium hodleri_B
GCF_000243415.2	Mycobacterium tusciae_A
GCF_010726645.1	Mycobacterium duvalii
GCF_002591975.1	Mycobacterium neglectum
GCF_003284975.1	Mycobacterium europaeum_A
GCF_010731755.1	Mycobacterium minnesotense
GCA_021654635.1	Mycobacterium kiyosense
GCF_000975265.2	Mycobacterium lepromatosis
GCF_010731115.1	Mycobacterium phocaicum
GCF_001187505.1	Mycobacterium goodii_B
GCF_022370635.2	Mycobacterium crocinum
GCF_025822885.1	Mycobacterium shimoidei
GCF_001673315.1	Mycobacterium asiaticum_B
